"YearStart","LocationDesc","Data_Value","Data_Value_Footnote","Sample_Size","StratificationCategory1","Stratification1"
2011,"New Mexico",21.1,"",1038,"Income","Data not reported"
2011,"New Mexico",31.3,"",1145,"Income","Less than $15,000"
2011,"New York",26.5,"",1114,"Income","$15,000 - $24,999"
2011,"New York",26,"",647,"Income","$25,000 - $34,999"
2011,"New York",28.5,"",842,"Income","$35,000 - $49,999"
2011,"New York",26.8,"",926,"Income","$50,000 - $74,999"
2011,"New York",20.1,"",1940,"Income","$75,000 or greater"
2011,"New York",22.1,"",956,"Income","Data not reported"
2011,"New York",27.3,"",797,"Income","Less than $15,000"
2011,"North Carolina",31.8,"",1841,"Income","$15,000 - $24,999"
2011,"North Carolina",33.3,"",1069,"Income","$25,000 - $34,999"
2011,"North Carolina",30,"",1348,"Income","$35,000 - $49,999"
2011,"North Carolina",27.9,"",1293,"Income","$50,000 - $74,999"
2011,"North Carolina",24.5,"",2189,"Income","$75,000 or greater"
2011,"North Carolina",25.7,"",1757,"Income","Data not reported"
2011,"North Carolina",34.8,"",1293,"Income","Less than $15,000"
2011,"North Dakota",26.6,"",645,"Income","$15,000 - $24,999"
2011,"North Dakota",28.7,"",572,"Income","$25,000 - $34,999"
2011,"North Dakota",32.6,"",757,"Income","$35,000 - $49,999"
2011,"North Dakota",29,"",841,"Income","$50,000 - $74,999"
2011,"North Dakota",27,"",1192,"Income","$75,000 or greater"
2011,"North Dakota",18.7,"",607,"Income","Data not reported"
2011,"North Dakota",33,"",368,"Income","Less than $15,000"
2011,"Ohio",31.4,"",1632,"Income","$15,000 - $24,999"
2011,"Ohio",33,"",992,"Income","$25,000 - $34,999"
2011,"Ohio",34.8,"",1170,"Income","$35,000 - $49,999"
2011,"Ohio",32.4,"",1273,"Income","$50,000 - $74,999"
2011,"Ohio",24,"",1936,"Income","$75,000 or greater"
2011,"Ohio",24.1,"",1383,"Income","Data not reported"
2011,"Ohio",32.8,"",953,"Income","Less than $15,000"
2011,"Oklahoma",35.8,"",1516,"Income","$15,000 - $24,999"
2011,"Oklahoma",29.4,"",902,"Income","$25,000 - $34,999"
2011,"Oklahoma",36.2,"",1117,"Income","$35,000 - $49,999"
2011,"Oklahoma",32.5,"",1012,"Income","$50,000 - $74,999"
2011,"Oklahoma",25.8,"",1527,"Income","$75,000 or greater"
2011,"Oklahoma",24,"",911,"Income","Data not reported"
2011,"Oklahoma",33.2,"",1174,"Income","Less than $15,000"
2011,"Oregon",29.6,"",920,"Income","$15,000 - $24,999"
2011,"Oregon",29.8,"",637,"Income","$25,000 - $34,999"
2011,"Oregon",28.9,"",832,"Income","$35,000 - $49,999"
2011,"Oregon",24.4,"",856,"Income","$50,000 - $74,999"
2011,"Oregon",22.9,"",1332,"Income","$75,000 or greater"
2011,"Oregon",23.8,"",755,"Income","Data not reported"
2011,"Oregon",30.7,"",627,"Income","Less than $15,000"
2011,"Pennsylvania",30.3,"",1902,"Income","$15,000 - $24,999"
2011,"Pennsylvania",29.5,"",1151,"Income","$25,000 - $34,999"
2011,"Pennsylvania",30.7,"",1378,"Income","$35,000 - $49,999"
2011,"Pennsylvania",29.9,"",1506,"Income","$50,000 - $74,999"
2011,"Pennsylvania",25,"",2232,"Income","$75,000 or greater"
2011,"Pennsylvania",25.3,"",1529,"Income","Data not reported"
2011,"Pennsylvania",33.8,"",1152,"Income","Less than $15,000"
2011,"Rhode Island",24.1,"",844,"Income","$15,000 - $24,999"
2011,"Rhode Island",25.7,"",561,"Income","$25,000 - $34,999"
2011,"Rhode Island",26.2,"",730,"Income","$35,000 - $49,999"
2011,"Rhode Island",25.9,"",846,"Income","$50,000 - $74,999"
2011,"Rhode Island",24,"",1670,"Income","$75,000 or greater"
2011,"Rhode Island",22.6,"",900,"Income","Data not reported"
2011,"Rhode Island",33,"",631,"Income","Less than $15,000"
2011,"South Carolina",35.8,"",2230,"Income","$15,000 - $24,999"
2011,"South Carolina",32.1,"",1289,"Income","$25,000 - $34,999"
2011,"South Carolina",34.2,"",1600,"Income","$35,000 - $49,999"
2011,"South Carolina",30.5,"",1484,"Income","$50,000 - $74,999"
2011,"South Carolina",24.1,"",2193,"Income","$75,000 or greater"
2011,"South Carolina",25.3,"",1795,"Income","Data not reported"
2011,"South Carolina",36.4,"",1761,"Income","Less than $15,000"
2011,"South Dakota",33.8,"",1165,"Income","$15,000 - $24,999"
2011,"South Dakota",28.3,"",853,"Income","$25,000 - $34,999"
2011,"South Dakota",27.5,"",1163,"Income","$35,000 - $49,999"
2011,"South Dakota",28.4,"",1222,"Income","$50,000 - $74,999"
2011,"South Dakota",25.6,"",1570,"Income","$75,000 or greater"
2011,"South Dakota",22.6,"",1093,"Income","Data not reported"
2011,"South Dakota",31.8,"",754,"Income","Less than $15,000"
2011,"Tennessee",33.2,"",1242,"Income","$15,000 - $24,999"
2011,"Tennessee",29.4,"",529,"Income","$25,000 - $34,999"
2011,"Tennessee",24.1,"",567,"Income","$35,000 - $49,999"
2011,"Tennessee",29.7,"",513,"Income","$50,000 - $74,999"
2011,"Tennessee",25.3,"",748,"Income","$75,000 or greater"
2011,"Tennessee",26.3,"",1299,"Income","Data not reported"
2011,"Tennessee",36.5,"",677,"Income","Less than $15,000"
2011,"Texas",34.3,"",2280,"Income","$15,000 - $24,999"
2011,"Texas",30,"",1272,"Income","$25,000 - $34,999"
2011,"Texas",31.9,"",1625,"Income","$35,000 - $49,999"
2011,"Texas",33.8,"",1711,"Income","$50,000 - $74,999"
2011,"Texas",26,"",3585,"Income","$75,000 or greater"
2011,"Texas",24.2,"",1827,"Income","Data not reported"
2011,"Texas",35.8,"",1724,"Income","Less than $15,000"
2011,"Utah",26.6,"",1571,"Income","$15,000 - $24,999"
2011,"Utah",26.5,"",1093,"Income","$25,000 - $34,999"
2011,"Utah",27,"",1678,"Income","$35,000 - $49,999"
2011,"Utah",26.2,"",2045,"Income","$50,000 - $74,999"
2011,"Utah",21.8,"",3306,"Income","$75,000 or greater"
2011,"Utah",18.9,"",1399,"Income","Data not reported"
2011,"Utah",28.1,"",826,"Income","Less than $15,000"
2011,"Vermont",30.7,"",967,"Income","$15,000 - $24,999"
2011,"Vermont",28.6,"",693,"Income","$25,000 - $34,999"
